Model,base_config,num_layers,lambda_ile,lambda_cl,tau,neg_pop_beta,best_epoch,Recall@10,NDCG@10,Recall@20,NDCG@20,TailRecall@20,Coverage@20,ARP@20,TailExposure@20,MiddleExposure@20,HeadExposure@20
baseline_L2,baseline,2,1.0,0.1,0.2,0.0,95,0.07126284390687943,0.03535357862710953,0.12794166803359985,0.04964783042669296,0.00560747692361474,0.39201811491650157,6.845614910125732,0.0013755386145177329,0.03900397746105403,0.9596204839244282
baseline_L3,baseline,3,1.0,0.1,0.2,0.0,100,0.06728538125753403,0.03412323445081711,0.12064965069293976,0.04754871129989624,0.003738317871466279,0.3444664590999151,6.9442667961120605,0.000986078886310905,0.02660755717600265,0.9724063639376864
full_L2_ile0p1_cl0p1_tau0p2_beta0p0_s42,full,2,0.1,0.1,0.2,0.0,25,0.07988067716360092,0.039374176412820816,0.1355651319026947,0.053379952907562256,0.013084112666547298,0.44438154542881403,6.646285533905029,0.009131587669870732,0.04035465694398409,0.9505137553861451
full_L2_ile0p1_cl0p1_tau0p2_beta0p5_s42,full,2,0.1,0.1,0.2,0.5,30,0.07838913053274155,0.038038693368434906,0.13705667853355408,0.052730742841959,0.014953271485865116,0.5026889329181998,6.427669048309326,0.011252900232018562,0.0920036460059662,0.8967434537620153
full_L2_ile0p1_cl0p5_tau0p2_beta0p0_s42,full,2,0.1,0.5,0.2,0.0,50,0.06629101932048798,0.03224856033921242,0.11120317876338959,0.04358314350247383,0.013084112666547298,0.6527030851967167,6.215888977050781,0.02493370898243288,0.11095459065296652,0.8641117003646006
full_L2_ile0p1_cl0p5_tau0p2_beta0p5_s42,full,2,0.1,0.5,0.2,0.5,45,0.0694398432970047,0.032733555883169174,0.11120317876338959,0.04325256869196892,0.013084112666547298,0.5680724596660063,6.241098403930664,0.00976963871395426,0.13138051044083526,0.8588498508452105
full_L2_ile0p5_cl0p1_tau0p2_beta0p0_s42,full,2,0.5,0.1,0.2,0.0,30,0.0787205845117569,0.038415227085351944,0.13523367047309875,0.05263914167881012,0.026168225333094597,0.4978771582224738,6.569450378417969,0.022016904209479615,0.0545409347033477,0.9234421610871727
full_L2_ile0p5_cl0p1_tau0p2_beta0p5_s42,full,2,0.5,0.1,0.2,0.5,25,0.07706330716609955,0.037673864513635635,0.13655950129032135,0.05265060067176819,0.026168225333094597,0.5123124823096519,6.437112331390381,0.022804110043089163,0.08187769307258866,0.8953181968843221
full_L2_ile0p5_cl0p5_tau0p2_beta0p0_s42,full,2,0.5,0.5,0.2,0.0,50,0.06612528860569,0.032109230756759644,0.11054027080535889,0.04327591881155968,0.020560748875141144,0.6943107840362298,6.165779113769531,0.03911998674179649,0.11729366920782235,0.8435863440503811
full_L2_ile0p5_cl0p5_tau0p2_beta0p5_s42,full,2,0.5,0.5,0.2,0.5,45,0.0687769278883934,0.03246688097715378,0.11236327141523361,0.043429963290691376,0.02242990769445896,0.6099632040758562,6.215129852294922,0.01723566456745111,0.13404872389791184,0.848715611534637
